"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Janice_Raymond"	"Salve Regina University"	1943
"http://dbpedia.org/resource/Janice_Raymond"	"Boston College"	1943
"http://dbpedia.org/resource/Susan_Griffin"	"University of California, Berkeley"	1943
"http://dbpedia.org/resource/Janice_Raymond"	"Andover Newton Theological School"	1943
"http://dbpedia.org/resource/Sharon_Presley"	"City University of New York"	1943
"http://dbpedia.org/resource/Jean_Kilbourne"	"Wellesley College"	1943
"http://dbpedia.org/resource/Cornelia_Butler_Flora"	"University of California, Berkeley"	1943
"http://dbpedia.org/resource/Cornelia_Butler_Flora"	"Cornell University"	1943
"http://dbpedia.org/resource/Ginny_Montes"	"University of Florida"	1943
"http://dbpedia.org/resource/Ginny_Montes"	"Florida State University"	1943
"http://dbpedia.org/resource/Hans-Jürgen_Krahl"	"University of Frankfurt Institute for Social Research"	1943
"http://dbpedia.org/resource/Hans-Jürgen_Krahl"	"University of Göttingen"	1943
"http://dbpedia.org/resource/Hans-Jürgen_Krahl"	"Frankfurt am Main"	1943
"http://dbpedia.org/resource/Alice_Walker"	"Sarah Lawrence College"	1944
"http://dbpedia.org/resource/Nancy_Chodorow"	"Brandeis University"	1944
"http://dbpedia.org/resource/Angela_Mason"	"Bedford College, University of London"	1944
"http://dbpedia.org/resource/Donna_Haraway"	"Colorado College"	1944
"http://dbpedia.org/resource/Angela_Mason"	"London School of Economics"	1944
"http://dbpedia.org/resource/Nancy_Chodorow"	"London School of Economics and Political Science"	1944
"http://dbpedia.org/resource/Ann_Oakley"	"Bedford College (London)"	1944
"http://dbpedia.org/resource/Nancy_Chodorow"	"Harvard University"	1944
"http://dbpedia.org/resource/Ann_Oakley"	"Somerville College, Oxford"	1944
"http://dbpedia.org/resource/Alice_Walker"	"Spelman College"	1944
"http://dbpedia.org/resource/Nancy_Chodorow"	"Radcliffe College"	1944
"http://dbpedia.org/resource/Donna_Haraway"	"Yale University"	1944
"http://dbpedia.org/resource/Roger_Scruton"	"Jesus College, Cambridge"	1944
"http://dbpedia.org/resource/Ruth_Adler"	"University of Edinburgh"	1944
"http://dbpedia.org/resource/Ruth_Adler"	"University of London"	1944
"http://dbpedia.org/resource/Ruth_Adler"	"North London Collegiate School"	1944
"http://dbpedia.org/resource/Ruth_Adler"	"Somerville College, Oxford"	1944
"http://dbpedia.org/resource/Celia_Amorós"	"University of Valencia"	1944
"http://dbpedia.org/resource/Dorothy_Riddle"	"University of Arizona"	1944
"http://dbpedia.org/resource/Dorothy_Riddle"	"University of Colorado"	1944
"http://dbpedia.org/resource/Marija_Aušrinė_Pavilionienė"	"Vilnius University"	1944
"http://dbpedia.org/resource/Dorothy_Riddle"	"Duke University"	1944
"http://dbpedia.org/resource/C._S._Lakshmi"	"Jawaharlal Nehru University, Delhi"	1944
"http://dbpedia.org/resource/Kinky_Friedman"	"University of Texas at Austin"	1944
"http://dbpedia.org/resource/Ingrid_Bengis"	"Columbia University"	1944
"http://dbpedia.org/resource/Gwendolyn_Zoharah_Simmons"	"Antioch University"	1944
"http://dbpedia.org/resource/Gwendolyn_Zoharah_Simmons"	"Temple University"	1944
"http://dbpedia.org/resource/Jo_Freeman"	"University of Chicago"	1945
"http://dbpedia.org/resource/Blackberri"	"University of Arizona"	1945
"http://dbpedia.org/resource/George_Miller_(filmmaker)"	"University of New South Wales"	1945
"http://dbpedia.org/resource/Nuruddin_Farah"	"Panjab University, Chandigarh"	1945
"http://dbpedia.org/resource/Jewell_Jackson_McCabe"	"Bard College"	1945
