"fk_personne","nom","annee_nais","fk_uni","universite"
http://www.wikidata.org/entity/Q20985226,Raffi Freedman-Gurspan,1987,http://www.wikidata.org/entity/Q1515763,St. Olaf College
http://www.wikidata.org/entity/Q124813450,Brendan Fay,1958,http://www.wikidata.org/entity/Q2974516,St. Patrick's College
http://www.wikidata.org/entity/Q3355,Amelia Earhart,1897,http://www.wikidata.org/entity/Q5061200,St. Paul Central High School
http://www.wikidata.org/entity/Q122368029,Yury Vetokhin,1928,http://www.wikidata.org/entity/Q4407686,St. Petersburg Naval Institute
http://www.wikidata.org/entity/Q1480,Corazon Aquino,1933,http://www.wikidata.org/entity/Q3551594,St. Scholastica's College
http://www.wikidata.org/entity/Q11013326,Parag Kumar Das,1961,http://www.wikidata.org/entity/Q5289309,St. Stephen's College
http://www.wikidata.org/entity/Q5657879,Harish Iyer,1979,http://www.wikidata.org/entity/Q7592174,"St. Xavier's College, Mumbai"
http://www.wikidata.org/entity/Q15287483,Malini Chib,1966,http://www.wikidata.org/entity/Q7592174,"St. Xavier's College, Mumbai"
http://www.wikidata.org/entity/Q19894336,Cecil Rajendra,1941,http://www.wikidata.org/entity/Q12708186,St. Xavier's Institution
http://www.wikidata.org/entity/Q354695,Yakubu Gowon,1934,http://www.wikidata.org/entity/Q7596549,"Staff College, Camberley"
http://www.wikidata.org/entity/Q377538,Bill Browder,1964,http://www.wikidata.org/entity/Q1413558,Stanford Graduate School of Business
http://www.wikidata.org/entity/Q7659534,Sybil Stockdale,1924,http://www.wikidata.org/entity/Q14684024,Stanford Graduate School of Education
http://www.wikidata.org/entity/Q98784357,Renya K. Ramirez,1959,http://www.wikidata.org/entity/Q14684024,Stanford Graduate School of Education
http://www.wikidata.org/entity/Q5257279,Denis Hayes,1944,http://www.wikidata.org/entity/Q8012895,Stanford Law School
http://www.wikidata.org/entity/Q3701413,Michelle Alexander,1967,http://www.wikidata.org/entity/Q8012895,Stanford Law School
http://www.wikidata.org/entity/Q19831562,Dan Fredinburg,1981,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q3180469,Sharon Olds,1942,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q5026639,Camille Dungy,1972,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q124528,Radka Donnell,1928,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q2893848,Pablo Simonetti,1961,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q4731961,Allen Young,1941,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q21552307,Mary Jean Crenshaw Tully,1925,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q6297380,Joyce Appleby,1929,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q1393117,Ivo Banac,1947,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q1285538,Harry Hay,1912,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q360471,Vladimir Bukovsky,1942,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q377538,Bill Browder,1964,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q16199140,Herb Donaldson,1927,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q4978462,Bruce William Nickerson,1941,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q6551382,Linda Arrigo,1949,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q16499848,Julie Su,1969,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q111991008,Victoria Sanford,1960,http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q101757,Jutta Oesterle-Schwerin,1941,http://www.wikidata.org/entity/Q2324294,State Academy of Fine Arts Stuttgart
http://www.wikidata.org/entity/Q4681689,Adelaide Casely-Hayford,1868,http://www.wikidata.org/entity/Q568692,State University of Music and Performing Arts Stuttgart
http://www.wikidata.org/entity/Q26037486,María Suérez Toro,1948,http://www.wikidata.org/entity/Q1140241,State University of New York
http://www.wikidata.org/entity/Q66162,Thomas Szasz,1920,http://www.wikidata.org/entity/Q3297997,State University of New York Upstate Medical University
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,1821,http://www.wikidata.org/entity/Q3297997,State University of New York Upstate Medical University
http://www.wikidata.org/entity/Q17141,Harvey Milk,1930,http://www.wikidata.org/entity/Q1780816,State University of New York at Albany
http://www.wikidata.org/entity/Q62348501,Lü Pin,1972,http://www.wikidata.org/entity/Q1780816,State University of New York at Albany
http://www.wikidata.org/entity/Q108807064,Les K. Wright,1953,http://www.wikidata.org/entity/Q1780816,State University of New York at Albany
http://www.wikidata.org/entity/Q30315162,Virginia Apuzzo,1941,http://www.wikidata.org/entity/Q7603625,State University of New York at New Paltz
http://www.wikidata.org/entity/Q1066076,Charles Silverstein,1935,http://www.wikidata.org/entity/Q7603625,State University of New York at New Paltz
http://www.wikidata.org/entity/Q71385679,Oleksii Buriachenko,1984,http://www.wikidata.org/entity/Q694219,State University of Trade and Economics
http://www.wikidata.org/entity/Q18043792,Sarah Kate Ellis,1971,http://www.wikidata.org/entity/Q7603981,Staten Island Academy
http://www.wikidata.org/entity/Q968608,Jan Egeland,1957,http://www.wikidata.org/entity/Q6513974,Stavanger Cathedral School
http://www.wikidata.org/entity/Q377538,Bill Browder,1964,http://www.wikidata.org/entity/Q14684914,Steamboat Mountain School
http://www.wikidata.org/entity/Q298259,Dorthy Hieghts,1912,http://www.wikidata.org/entity/Q966540,"Steinhardt School of Culture, Education, and Human Development"
http://www.wikidata.org/entity/Q5571314,Gloria Allred,1941,http://www.wikidata.org/entity/Q966540,"Steinhardt School of Culture, Education, and Human Development"
http://www.wikidata.org/entity/Q14657728,Amarnath Sehgal,1922,http://www.wikidata.org/entity/Q966540,"Steinhardt School of Culture, Education, and Human Development"
http://www.wikidata.org/entity/Q710920,Igor Shafarevich,1923,http://www.wikidata.org/entity/Q611420,Steklov Institute of Mathematics
http://www.wikidata.org/entity/Q87188713,Deborah Carlos Valencia,1949,http://www.wikidata.org/entity/Q12963177,Stella Maris College
http://www.wikidata.org/entity/Q96575383,Clarence Mini,1951,http://www.wikidata.org/entity/Q1066492,Stellenbosch University
http://www.wikidata.org/entity/Q1395770,Patricia Nell Warren,1936,http://www.wikidata.org/entity/Q12070051,Stephens College
http://www.wikidata.org/entity/Q5115848,Chuck Wolfe,1961,http://www.wikidata.org/entity/Q2341039,Stetson University
http://www.wikidata.org/entity/Q73946587,Dylan Geick,1998,http://www.wikidata.org/entity/Q7615522,Stevenson High School
http://www.wikidata.org/entity/Q517947,Hanna Rydh,1891,http://www.wikidata.org/entity/Q221645,Stockholm University
http://www.wikidata.org/entity/Q1926624,Tiina Rosenberg,1958,http://www.wikidata.org/entity/Q221645,Stockholm University
http://www.wikidata.org/entity/Q230654,Maria Shriver,1955,http://www.wikidata.org/entity/Q7619019,Stone Ridge School of the Sacred Heart
http://www.wikidata.org/entity/Q390147,George Monbiot,1963,http://www.wikidata.org/entity/Q7620697,Stowe School
http://www.wikidata.org/entity/Q18748095,Kim Schicklang,1972,http://www.wikidata.org/entity/Q1233544,Stuttgart Media University
http://www.wikidata.org/entity/Q8932397,Chen Pokong,1963,http://www.wikidata.org/entity/Q178972,Sun Yat-sen University
http://www.wikidata.org/entity/Q16175064,Lee Gye-deok,1986,http://www.wikidata.org/entity/Q482716,Sungkonghoe University
http://www.wikidata.org/entity/Q16091402,Lim Tae-hoon,1975,http://www.wikidata.org/entity/Q482716,Sungkonghoe University
http://www.wikidata.org/entity/Q48413007,Benoit Berthe Siward,1989,http://www.wikidata.org/entity/Q3504837,Supinfocom
http://www.wikidata.org/entity/Q482907,Bryan Adams,1959,http://www.wikidata.org/entity/Q7649991,Sutherland Secondary School
http://www.wikidata.org/entity/Q518828,Christiana Figueres,1956,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q284025,Carol Gilligan,1936,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q436667,Molly Yard,1912,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q127328,Alice Paul,1885,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q6151099,Jane Alpert,1947,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q7608354,Stephanie Nyombayire,1986,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q16148442,Ann Cudd,1950,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q5363029,Elizabeth Janeway,1913,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q5363169,Elizabeth Martínez,1925,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q4712078,Alberto J. Mora,1952,http://www.wikidata.org/entity/Q1378320,Swarthmore College
http://www.wikidata.org/entity/Q533778,Sally Miller Gearhart,1931,http://www.wikidata.org/entity/Q7655237,Sweet Briar College
http://www.wikidata.org/entity/Q714958,Peter Nguyen Van Hung,1958,http://www.wikidata.org/entity/Q7659877,Sydney College of Divinity
http://www.wikidata.org/entity/Q124516506,Daphne Gollan,1918,http://www.wikidata.org/entity/Q7659944,Sydney Girls High School
http://www.wikidata.org/entity/Q17198197,Graeme Innes,1955,http://www.wikidata.org/entity/Q7660015,Sydney Law School
