"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1844,http://www.wikidata.org/entity/Q71724,Lorient,Point(-3.366388888 47.745833333)
1845,http://www.wikidata.org/entity/Q187802,San Felipe,Point(-70.7251 -32.7507)
1845,http://www.wikidata.org/entity/Q41205171,Q41205171,Point(11.3319 55.3936)
1845,http://www.wikidata.org/entity/Q10546040,Klara Church Parish,Point(18.061666666 59.331111111)
1845,http://www.wikidata.org/entity/Q5507294,Fuglsang Manor,Point(11.7977 54.7219)
1845,http://www.wikidata.org/entity/Q1000346,Moquegua,Point(-70.933333 -17.2)
1845,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
1845,http://www.wikidata.org/entity/Q40898,Nancy,Point(6.183611111 48.692777777)
1845,http://www.wikidata.org/entity/Q656982,Bad Cannstatt,Point(9.2141 48.8056)
1845,http://www.wikidata.org/entity/Q7902280,Uszyce,Point(18.345555555 51.110555555)
1845,http://www.wikidata.org/entity/Q1984353,Trinca,Point(27.112222222 48.208333333)
1845,http://www.wikidata.org/entity/Q2389241,Overschie,Point(4.42944 51.935)
1845,http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0)
1845,http://www.wikidata.org/entity/Q365,Cologne,Point(6.957777777 50.942222222)
1846,http://www.wikidata.org/entity/Q2308650,Deptford,Point(-0.0265 51.478)
1846,http://www.wikidata.org/entity/Q748092,Kirkkonummi,Point(24.438888888 60.123611111)
1846,http://www.wikidata.org/entity/Q5582862,Cusco,Point(-71.983333 -13.522222)
1846,http://www.wikidata.org/entity/Q518080,West Meon,Point(-1.087730555 51.011919444)
1846,http://www.wikidata.org/entity/Q904478,Seloncourt,Point(6.858333333 47.460555555)
1846,http://www.wikidata.org/entity/Q26793,Bergen,Point(5.323333333 60.3925)
1846,http://www.wikidata.org/entity/Q12887,Schaerbeek,Point(4.373611111 50.8675)
1846,http://www.wikidata.org/entity/Q65407,Dozwil,Point(9.316388888 47.566666666)
1846,http://www.wikidata.org/entity/Q65828,Stettfurt,Point(8.955555555 47.526111111)
1846,http://www.wikidata.org/entity/Q208257,Bedford,Point(-0.463055555 52.134444444)
1847,http://www.wikidata.org/entity/Q1524,Athens,Point(23.728055555 37.984166666)
1847,http://www.wikidata.org/entity/Q2056073,Sappemeer,Point(6.7767 53.1633)
1847,http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
1847,http://www.wikidata.org/entity/Q24826,Liverpool,Point(-2.991944444 53.4075)
1847,http://www.wikidata.org/entity/Q38002307,"Griesgasse 4, Salzburg",Point(13.04036 47.80094)
1847,http://www.wikidata.org/entity/Q11833732,"Raków, Wrocław County",Point(17.28055556 51.16888889)
1847,http://www.wikidata.org/entity/Q2077402,Aldeburgh,Point(1.6 52.15)
1847,http://www.wikidata.org/entity/Q1426899,Flakstadøya,Point(13.3 68.066666666)
1847,http://www.wikidata.org/entity/Q2177852,Britsum,Point(5.7844 53.2522)
1847,http://www.wikidata.org/entity/Q146659,Clapham,Point(-0.133938888 51.463230555)
1847,http://www.wikidata.org/entity/Q3224,New South Wales,Point(147.0 -32.0)
1847,http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
1848,http://www.wikidata.org/entity/Q8033771,Woolaston,Point(-2.6 51.7)
1848,http://www.wikidata.org/entity/Q986435,Nykøbing Falster,Point(11.883333333 54.766666666)
1848,http://www.wikidata.org/entity/Q947853,Luneray,Point(0.913055555 49.828611111)
1848,http://www.wikidata.org/entity/Q59819,Mudgee,Point(149.5872222 -32.6125)
1848,http://www.wikidata.org/entity/Q83324,Sibiu,Point(24.15 45.8)
1848,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
1848,http://www.wikidata.org/entity/Q2936,Oldenburg,Point(8.213888888 53.143888888)
1848,http://www.wikidata.org/entity/Q772189,Saint-Priest-en-Murat,Point(2.912222222 46.349444444)
1848,http://www.wikidata.org/entity/Q3125257,Haarlemmerliede,Point(4.6875 52.3881)
1848,http://www.wikidata.org/entity/Q2807,Madrid,Point(-3.703333333 40.416944444)
1848,http://www.wikidata.org/entity/Q9005,Brussels metropolitan area,Point(4.3525 50.846666666)
1848,http://www.wikidata.org/entity/Q238723,"5th arrondissement of Paris",Point(2.344444444 48.847222222)
1848,http://www.wikidata.org/entity/Q27425,Hillerød,Point(12.3 55.933333333)
1848,http://www.wikidata.org/entity/Q699616,Ebensee,Point(13.77315 47.81224)
1849,http://www.wikidata.org/entity/Q26087,Tromsø Municipality,Point(18.95701 69.64961)
1849,http://www.wikidata.org/entity/Q613441,Middelfart,Point(9.730555555 55.505833333)
1849,http://www.wikidata.org/entity/Q1754,Stockholm,Point(18.068611111 59.329444444)
1849,http://www.wikidata.org/entity/Q10505188,Gladhammar church parish,Point(16.452361111 57.709680555)
1849,http://www.wikidata.org/entity/Q340,Montreal,Point(-73.561666666 45.508888888)
1850,http://www.wikidata.org/entity/Q47934,Buldhana,Point(76.183333333 20.533333333)
1850,http://www.wikidata.org/entity/Q2773,Brunswick,Point(10.521111111 52.269166666)
1850,http://www.wikidata.org/entity/Q23077,Lancashire,Point(-2.6 53.8)
1850,http://www.wikidata.org/entity/Q3855854,Mezzano,Point(12.08632 44.46625)
1850,http://www.wikidata.org/entity/Q3855854,Mezzano,Point(12.086619833 44.46636)
1850,http://www.wikidata.org/entity/Q782264,Sartana,Point(37.695361111 47.170777777)
1850,http://www.wikidata.org/entity/Q15930367,Vechelde,Point(10.3699 52.2602)
1850,http://www.wikidata.org/entity/Q15930367,Vechelde,Point(10.372 52.26083333)
1850,http://www.wikidata.org/entity/Q10531804,Hässle,Point(17.41472222 59.72583333)
1850,http://www.wikidata.org/entity/Q12887,Schaerbeek,Point(4.373611111 50.8675)
1850,http://www.wikidata.org/entity/Q58814313,Q58814313,Point(15.989869444 59.513219444)
1850,http://www.wikidata.org/entity/Q28031,Svendborg,Point(10.61 55.059722222)
1850,http://www.wikidata.org/entity/Q488970,Inderøy Municipality,Point(11.22 63.899444444)
1850,http://www.wikidata.org/entity/Q648,Lille,Point(3.0575 50.631944444)
1850,http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
1850,http://www.wikidata.org/entity/Q58931,Harderwijk,Point(5.617222222 52.350555555)
1850,http://www.wikidata.org/entity/Q1546,Iowa,Point(-93.0 42.0)
1851,http://www.wikidata.org/entity/Q8826,Palma,Point(2.649722222 39.566666666)
1851,http://www.wikidata.org/entity/Q2887,Santiago,Point(-70.65 -33.4375)
1851,http://www.wikidata.org/entity/Q336386,Dukla,Point(21.683333333 49.558333333)
1851,http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888)
1851,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444)
1851,http://www.wikidata.org/entity/Q69345,Neuchâtel,Point(6.930555555 46.990277777)
1851,http://www.wikidata.org/entity/Q4081788,Beleluia,Point(25.4775 48.498611111)
1851,http://www.wikidata.org/entity/Q2363136,Kharkov Governorate,Point(36.229166666 50.0)
1851,http://www.wikidata.org/entity/Q10493734,Falkenberg,Point(12.489519444 56.902097222)
