"generations","lieu_naissance","geo_coord","effectif"
"1851-1875",Brunswick,Point(10.521111111 52.269166666),1
"1851-1875",Øster Hurup,Point(10.2731 56.8019),1
"1851-1875",Leslie,Point(-84.4325 42.451388888),1
"1851-1875",Ledeberg,Point(3.7422 51.0356),1
"1851-1875",former 1st arrondissement of Paris,Point(2.320808 48.870128),1
"1851-1875",Hamm,Point(7.816666666 51.666666666),1
"1851-1875",Santiago,Point(-70.65 -33.4375),2
"1851-1875",Batignolles-Monceau,Point(2.3153 48.8867),1
"1851-1875",Camperdown,Point(151.1844444 -33.89),1
"1851-1875",Frederiksberg,Point(12.536388888 55.6775),1
"1851-1875",Østre Toten Municipality,Point(10.916111111 60.613333333),1
"1851-1875",Sydney,Point(151.21 -33.867777777),2
"1851-1875",Halifax,Point(-63.571389 44.647778),1
"1851-1875",Halifax,Point(-63.61 44.67),1
"1851-1875",Ciacova,Point(21.133333333 45.5),1
"1851-1875",Mattrup,Point(9.5421 55.9243),1
"1851-1875",Hartford,Point(-72.685 41.763333333),1
"1851-1875",Dukla,Point(21.683333333 49.558333333),1
"1851-1875",Montreal,Point(-73.561666666 45.508888888),1
"1851-1875",Gedved,Point(9.84722 55.9308),1
"1851-1875",Katarina church parish,Point(18.078058333 59.317047222),2
"1851-1875",Rotterdam,Point(4.48 51.92),5
"1851-1875",Santo Domingo,Point(-69.893333333 18.476388888),1
"1851-1875",Harburg,Point(9.982672222 53.459258333),1
"1851-1875",Innisfil,Point(-79.5833 44.3),1
"1851-1875",Cambridge,Point(0.1225 52.208055555),1
"1851-1875",St John's Town of Dalry,Point(-4.165 55.106),1
"1851-1875",Porto,Point(-8.610777777 41.149472222),1
"1851-1875",Cologne,Point(6.957777777 50.942222222),1
"1851-1875",The Hague,Point(4.31 52.08),6
"1851-1875",Pardubice,Point(15.77916 50.03861),1
