item,itemLabel,occupationLabel
http://www.wikidata.org/entity/Q21035477,Betty Mary Goetting,women's rights activist
http://www.wikidata.org/entity/Q21754897,Jean Mary Daly,activist
http://www.wikidata.org/entity/Q21754897,Jean Mary Daly,women's rights activist
http://www.wikidata.org/entity/Q28916353,Teresa Giménez Selma,trade unionist
http://www.wikidata.org/entity/Q28916353,Teresa Giménez Selma,women's rights activist
http://www.wikidata.org/entity/Q30106524,Ollga Plumbi,politician
http://www.wikidata.org/entity/Q30106524,Ollga Plumbi,journalist
http://www.wikidata.org/entity/Q30106524,Ollga Plumbi,women's rights activist
http://www.wikidata.org/entity/Q30312609,Henriette Alquier,school teacher
http://www.wikidata.org/entity/Q30312609,Henriette Alquier,women's rights activist
http://www.wikidata.org/entity/Q18613190,Suzanne Tassier,historian
http://www.wikidata.org/entity/Q18613190,Suzanne Tassier,women's rights activist
http://www.wikidata.org/entity/Q56377765,Florinda Lazos León,politician
http://www.wikidata.org/entity/Q56377765,Florinda Lazos León,women's rights activist
http://www.wikidata.org/entity/Q19754742,Cor Razoux Schultz-Metzer,teacher
http://www.wikidata.org/entity/Q19754742,Cor Razoux Schultz-Metzer,women's rights activist
http://www.wikidata.org/entity/Q24845581,Narushima Noriko,politician
http://www.wikidata.org/entity/Q24845581,Narushima Noriko,women's rights activist
http://www.wikidata.org/entity/Q6068819,Irena Krzywicka,writer
http://www.wikidata.org/entity/Q6068819,Irena Krzywicka,women's rights activist
http://www.wikidata.org/entity/Q7496377,Shigeri Yamataka,politician
http://www.wikidata.org/entity/Q7496377,Shigeri Yamataka,journalist
http://www.wikidata.org/entity/Q7496377,Shigeri Yamataka,women's rights activist
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,teacher
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,restorer
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,visual artist
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,fashion designer
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,designer
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,women's rights activist
http://www.wikidata.org/entity/Q97095128,Anna-Liese Schwieger,teacher
http://www.wikidata.org/entity/Q97095128,Anna-Liese Schwieger,politician
http://www.wikidata.org/entity/Q97095128,Anna-Liese Schwieger,women's rights activist
http://www.wikidata.org/entity/Q105789814,Gerritje Meldau,chemist
http://www.wikidata.org/entity/Q105789814,Gerritje Meldau,women's rights activist
http://www.wikidata.org/entity/Q22955294,Claire Duysburgh,resistance fighter
http://www.wikidata.org/entity/Q22955294,Claire Duysburgh,women's rights activist
http://www.wikidata.org/entity/Q2836613,Alice Melin,politician
http://www.wikidata.org/entity/Q2836613,Alice Melin,women's rights activist
http://www.wikidata.org/entity/Q3103732,Georgette Ciselet,lawyer
http://www.wikidata.org/entity/Q3103732,Georgette Ciselet,politician
http://www.wikidata.org/entity/Q3103732,Georgette Ciselet,women's rights activist
http://www.wikidata.org/entity/Q28916339,Teresa Giner,politician
http://www.wikidata.org/entity/Q28916339,Teresa Giner,women's rights activist
http://www.wikidata.org/entity/Q28917373,Delia Weber,writer
http://www.wikidata.org/entity/Q28917373,Delia Weber,poet
http://www.wikidata.org/entity/Q28917373,Delia Weber,women's rights activist
http://www.wikidata.org/entity/Q2250705,Antonieta Rivas Mercado,writer
http://www.wikidata.org/entity/Q2250705,Antonieta Rivas Mercado,journalist
http://www.wikidata.org/entity/Q2250705,Antonieta Rivas Mercado,television actor
http://www.wikidata.org/entity/Q2250705,Antonieta Rivas Mercado,activist
http://www.wikidata.org/entity/Q2250705,Antonieta Rivas Mercado,patron of the arts
