item,itemLabel,year
http://www.wikidata.org/entity/Q102230752,Charlotte Frischauer,1851
http://www.wikidata.org/entity/Q4225202,Nataliya Kobrynska,1851
http://www.wikidata.org/entity/Q4941831,Frigga Carlberg,1851
http://www.wikidata.org/entity/Q5297436,Dora Montefiore,1851
http://www.wikidata.org/entity/Q5703007,Helen Rabagliati,1851
http://www.wikidata.org/entity/Q46551315,Amélie Humbert-Droz,1851
http://www.wikidata.org/entity/Q7606373,Stefania Wolicka,1851
http://www.wikidata.org/entity/Q16043644,Nellie Peters Black,1851
http://www.wikidata.org/entity/Q118287668,Carlotta Clerici,1851
http://www.wikidata.org/entity/Q20100595,Francesca Vidal i Tous,1851
http://www.wikidata.org/entity/Q21517807,Emma Leclercq,1851
http://www.wikidata.org/entity/Q27189686,Caroline Dessaulles-Béique,1852
http://www.wikidata.org/entity/Q104622903,Anna Steineger,1852
http://www.wikidata.org/entity/Q4767613,Anna Whitlock,1852
http://www.wikidata.org/entity/Q4980014,Astrid Stampe Feddersen,1852
http://www.wikidata.org/entity/Q5363160,Elizabeth Maria Molteno,1852
http://www.wikidata.org/entity/Q11850973,Alli Trygg-Helenius,1852
http://www.wikidata.org/entity/Q60623908,Henriette Hontschik,1852
http://www.wikidata.org/entity/Q12866581,Mariam Jambakur-Orbeliani,1852
http://www.wikidata.org/entity/Q18093189,Geertruida Christine Jentink,1852
http://www.wikidata.org/entity/Q23059438,Klara Schleker,1852
http://www.wikidata.org/entity/Q2817202,Marguerite de Witt-Schlumberger,1853
http://www.wikidata.org/entity/Q1823663,Sophia Perovskaya,1853
http://www.wikidata.org/entity/Q1895714,Marie-Elisabeth Belpaire,1853
http://www.wikidata.org/entity/Q3494893,Mary Steen,1853
http://www.wikidata.org/entity/Q28946804,Henriette van Loenen-de Bordes,1853
http://www.wikidata.org/entity/Q3756761,Gabriella Rasponi Spalletti,1853
http://www.wikidata.org/entity/Q4118159,Lucina Hagman,1853
http://www.wikidata.org/entity/Q4217528,Leopold Katscher,1853
http://www.wikidata.org/entity/Q4933813,Gertrud Adelborg,1853
http://www.wikidata.org/entity/Q89010280,Elisabeth Wexelsen Jahn,1853
http://www.wikidata.org/entity/Q94732366,Emma Müller,1853
http://www.wikidata.org/entity/Q95680167,Thora Lund,1853
http://www.wikidata.org/entity/Q54962034,Theodora van Campen-Doesburg,1853
http://www.wikidata.org/entity/Q11382017,Toyoju Sasaki,1853
http://www.wikidata.org/entity/Q11850990,Alma Hjelt,1853
http://www.wikidata.org/entity/Q60833464,Marie Parent,1853
http://www.wikidata.org/entity/Q62079563,Anne Bruun,1853
http://www.wikidata.org/entity/Q123283152,Q123283152,1853
http://www.wikidata.org/entity/Q463478,Aletta Jacobs,1854
http://www.wikidata.org/entity/Q1331694,Ella Hruschka,1854
